NAME,median_age,white_non-hispanic,household_income,foreign_born_not_a_us_citizen,bachelors,gross_rent_media_price,total_population
ZCTA5 10901,,,,4339.0,3780.0,,
ZCTA5 10910,,,,0.0,0.0,,
ZCTA5 10911,,,,0.0,0.0,,
ZCTA5 10913,,,,744.0,886.0,,
ZCTA5 10914,,,,61.0,22.0,,
ZCTA5 10915,,,,0.0,0.0,,
ZCTA5 10916,,,,363.0,645.0,,
ZCTA5 10917,,,,382.0,290.0,,
ZCTA5 10918,,,,1306.0,1601.0,,
ZCTA5 10919,,,,162.0,92.0,,
ZCTA5 10920,,,,1744.0,1565.0,,
ZCTA5 10921,,,,417.0,448.0,,
ZCTA5 10922,,,,328.0,197.0,,
ZCTA5 10923,,,,2410.0,944.0,,
ZCTA5 10924,,,,1791.0,2043.0,,
ZCTA5 10925,,,,263.0,494.0,,
ZCTA5 10926,,,,1043.0,538.0,,
ZCTA5 10927,,,,5431.0,1274.0,,
ZCTA5 10928,,,,668.0,705.0,,
ZCTA5 10930,,,,1662.0,1375.0,,
ZCTA5 10931,,,,287.0,101.0,,
ZCTA5 10932,,,,40.0,21.0,,
ZCTA5 10933,,,,8.0,18.0,,
ZCTA5 10940,,,,9703.0,3915.0,,
ZCTA5 10941,,,,2436.0,1361.0,,
ZCTA5 10950,,,,5705.0,4112.0,,
ZCTA5 10952,,,,7146.0,2578.0,,
ZCTA5 10953,,,,0.0,0.0,,
ZCTA5 10954,,,,6166.0,5130.0,,
ZCTA5 10956,,,,7428.0,7444.0,,
ZCTA5 10958,,,,283.0,485.0,,
ZCTA5 10960,,,,3900.0,3186.0,,
ZCTA5 10962,,,,1232.0,1160.0,,
ZCTA5 10963,,,,633.0,336.0,,
ZCTA5 10964,,,,284.0,275.0,,
ZCTA5 10965,,,,2348.0,2547.0,,
ZCTA5 10968,,,,400.0,675.0,,
ZCTA5 10969,,,,70.0,129.0,,
ZCTA5 10970,,,,3330.0,1459.0,,
ZCTA5 10973,,,,133.0,307.0,,
ZCTA5 10974,,,,529.0,490.0,,
ZCTA5 10975,,,,9.0,38.0,,
ZCTA5 10976,,,,586.0,289.0,,
ZCTA5 10977,,,,20204.0,4581.0,,
ZCTA5 10979,,,,0.0,0.0,,
ZCTA5 10980,,,,1852.0,1674.0,,
ZCTA5 10983,,,,1240.0,1123.0,,
ZCTA5 10984,,,,341.0,536.0,,
ZCTA5 10985,,,,61.0,9.0,,
ZCTA5 10986,,,,218.0,295.0,,
ZCTA5 10987,,,,416.0,873.0,,
ZCTA5 10988,,,,113.0,81.0,,
ZCTA5 10989,,,,1986.0,1831.0,,
ZCTA5 10990,,,,1638.0,3730.0,,
ZCTA5 10992,,,,816.0,1237.0,,
ZCTA5 10993,,,,1878.0,271.0,,
ZCTA5 10994,,,,999.0,1554.0,,
ZCTA5 10996,,,,681.0,467.0,,
ZCTA5 10998,,,,353.0,463.0,,
ZCTA5 11001,,,,7961.0,5352.0,,
ZCTA5 11003,,,,20160.0,6437.0,,
ZCTA5 11004,,,,5972.0,2958.0,,
ZCTA5 11005,,,,208.0,416.0,,
ZCTA5 11010,,,,5744.0,3692.0,,
ZCTA5 11020,,,,2144.0,1311.0,,
ZCTA5 11021,,,,5871.0,4172.0,,
ZCTA5 11023,,,,3106.0,1712.0,,
ZCTA5 11024,,,,2900.0,1230.0,,
ZCTA5 11030,,,,3930.0,4596.0,,
ZCTA5 11040,,,,15810.0,8559.0,,
ZCTA5 11042,,,,140.0,22.0,,
ZCTA5 11050,,,,6962.0,6665.0,,
ZCTA5 11096,,,,3178.0,640.0,,
ZCTA5 11101,,,,11768.0,6929.0,,
ZCTA5 11102,,,,12249.0,7705.0,,
ZCTA5 11103,,,,15174.0,9933.0,,
ZCTA5 11104,,,,12535.0,6002.0,,
ZCTA5 11105,,,,14807.0,9269.0,,
ZCTA5 11106,,,,16114.0,9494.0,,
ZCTA5 11109,,,,2622.0,2037.0,,
ZCTA5 11201,,,,14111.0,17220.0,,
ZCTA5 11203,,,,39951.0,8954.0,,
ZCTA5 11204,,,,36489.0,9317.0,,
ZCTA5 11205,,,,10033.0,7462.0,,
ZCTA5 11206,,,,25389.0,11194.0,,
ZCTA5 11207,,,,32036.0,7463.0,,
ZCTA5 11208,,,,43480.0,6433.0,,
ZCTA5 11209,,,,23277.0,14725.0,,
ZCTA5 11210,,,,26592.0,8893.0,,
ZCTA5 11211,,,,27354.0,23249.0,,
ZCTA5 11212,,,,28351.0,5589.0,,
ZCTA5 11213,,,,24348.0,8239.0,,
ZCTA5 11214,,,,53793.0,13661.0,,
ZCTA5 11215,,,,14587.0,18919.0,,
ZCTA5 11216,,,,15345.0,13278.0,,
ZCTA5 11217,,,,9065.0,11119.0,,
ZCTA5 11218,,,,26979.0,11708.0,,
ZCTA5 11219,,,,33147.0,6222.0,,
ZCTA5 11220,,,,55320.0,8652.0,,
ZCTA5 11221,,,,24128.0,12671.0,,
ZCTA5 11222,,,,10743.0,11766.0,,
ZCTA5 11223,,,,40089.0,11067.0,,
ZCTA5 11224,,,,22409.0,6938.0,,
ZCTA5 11225,,,,23085.0,10199.0,,
ZCTA5 11226,,,,45813.0,13267.0,,
ZCTA5 11228,,,,19661.0,7195.0,,
ZCTA5 11229,,,,40762.0,13210.0,,
ZCTA5 11230,,,,37084.0,12532.0,,
ZCTA5 11231,,,,7888.0,8255.0,,
ZCTA5 11232,,,,11338.0,3555.0,,
ZCTA5 11233,,,,20343.0,9309.0,,
ZCTA5 11234,,,,37026.0,13828.0,,
ZCTA5 11235,,,,51372.0,16947.0,,
ZCTA5 11236,,,,48862.0,12782.0,,
ZCTA5 11237,,,,21464.0,7879.0,,
ZCTA5 11238,,,,13032.0,15253.0,,
ZCTA5 11239,,,,4744.0,1244.0,,
ZCTA5 11351,,,,0.0,0.0,,
ZCTA5 11354,,,,36214.0,5578.0,,
ZCTA5 11355,,,,58170.0,7798.0,,
ZCTA5 11356,,,,11170.0,2286.0,,
ZCTA5 11357,,,,14381.0,6866.0,,
ZCTA5 11358,,,,18880.0,5210.0,,
ZCTA5 11359,,,,0.0,0.0,,
ZCTA5 11360,,,,7096.0,4355.0,,
ZCTA5 11361,,,,11515.0,5089.0,,
ZCTA5 11362,,,,7689.0,3756.0,,
ZCTA5 11363,,,,2304.0,1680.0,,
ZCTA5 11364,,,,16758.0,6804.0,,
ZCTA5 11365,,,,21025.0,7326.0,,
ZCTA5 11366,,,,7181.0,2664.0,,
ZCTA5 11367,,,,18439.0,6324.0,,
ZCTA5 11368,,,,69612.0,6971.0,,
ZCTA5 11369,,,,17414.0,2661.0,,
ZCTA5 11370,,,,14870.0,3163.0,,
ZCTA5 11371,,,,0.0,0.0,,
ZCTA5 11372,,,,39476.0,8272.0,,
ZCTA5 11373,,,,65226.0,13292.0,,
ZCTA5 11374,,,,26071.0,10321.0,,
ZCTA5 11375,,,,34275.0,18087.0,,
ZCTA5 11377,,,,50120.0,13208.0,,
ZCTA5 11378,,,,15885.0,4873.0,,
ZCTA5 11379,,,,13994.0,5941.0,,
ZCTA5 11385,,,,47058.0,13853.0,,
ZCTA5 11411,,,,8363.0,3376.0,,
ZCTA5 11412,,,,15245.0,3883.0,,
ZCTA5 11413,,,,15980.0,4923.0,,
ZCTA5 11414,,,,5699.0,3454.0,,
ZCTA5 11415,,,,8401.0,3933.0,,
ZCTA5 11416,,,,14577.0,2786.0,,
ZCTA5 11417,,,,15217.0,3872.0,,
ZCTA5 11418,,,,20890.0,4640.0,,
ZCTA5 11419,,,,32137.0,5292.0,,
ZCTA5 11420,,,,26367.0,4939.0,,
ZCTA5 11421,,,,22206.0,5163.0,,
ZCTA5 11422,,,,14512.0,3623.0,,
ZCTA5 11423,,,,16904.0,4746.0,,
ZCTA5 11424,,,,0.0,0.0,,
ZCTA5 11425,,,,0.0,0.0,,
ZCTA5 11426,,,,9326.0,3019.0,,
ZCTA5 11427,,,,12788.0,3603.0,,
ZCTA5 11428,,,,9989.0,1913.0,,
ZCTA5 11429,,,,12505.0,3463.0,,
ZCTA5 11430,,,,46.0,11.0,,
ZCTA5 11432,,,,37325.0,10027.0,,
ZCTA5 11433,,,,15514.0,3014.0,,
ZCTA5 11434,,,,21880.0,6474.0,,
ZCTA5 11435,,,,33229.0,8232.0,,
ZCTA5 11436,,,,7982.0,1782.0,,
ZCTA5 11451,,,,0.0,0.0,,
ZCTA5 11501,,,,5923.0,3602.0,,
ZCTA5 11507,,,,2377.0,1428.0,,
ZCTA5 11509,,,,258.0,463.0,,
ZCTA5 11510,,,,8451.0,5835.0,,
ZCTA5 11514,,,,1147.0,768.0,,
ZCTA5 11516,,,,1346.0,1108.0,,
ZCTA5 11518,,,,1054.0,1769.0,,
ZCTA5 11520,,,,14891.0,4990.0,,
ZCTA5 11530,,,,3451.0,6598.0,,
ZCTA5 11542,,,,8500.0,4240.0,,
ZCTA5 11545,,,,2344.0,2806.0,,
ZCTA5 11547,,,,103.0,119.0,,
ZCTA5 11548,,,,937.0,436.0,,
ZCTA5 11549,,,,319.0,3.0,,
ZCTA5 11550,,,,23686.0,4535.0,,
ZCTA5 11552,,,,5984.0,3555.0,,
ZCTA5 11553,,,,11648.0,2132.0,,
ZCTA5 11554,,,,8145.0,5984.0,,
ZCTA5 11556,,,,0.0,0.0,,
ZCTA5 11557,,,,1906.0,1727.0,,
ZCTA5 11558,,,,1581.0,1006.0,,
