NAME,total_population,median_age,white_non-hispanic,household_income,foreign_born_not_a_us_citizen,bachelors,gross_rent_median_price,white_non-hispanic_percent,foreign_born_not_a_us_citizen_percent,bachelors_percent
10463,71981,37.9,23728,56482.0,9370,9982,1191.0,0.3296425445603701,0.13017324016059795,0.13867548380822717
10464,4723,47.4,3207,75208.0,121,624,1365.0,0.6790175735761169,0.02561930976074529,0.13211941562566165
10465,45839,40.0,22766,73776.0,2664,4737,1259.0,0.4966513231091429,0.05811645105696023,0.10333995069700473
10466,71138,35.8,2276,42478.0,11613,7284,1138.0,0.03199415221119514,0.16324608507408137,0.1023925328235261
10467,101134,33.4,9005,35117.0,20982,8470,1140.0,0.08904028318864081,0.20746732058457096,0.08375027191646726
10468,73637,32.2,2638,34784.0,18990,5776,1148.0,0.03582438176460204,0.2578866602387387,0.07843882830642204
10469,72732,38.1,9735,57207.0,10195,7510,1261.0,0.1338475499092559,0.1401721388109773,0.10325578837375571
10470,14868,38.1,6459,57706.0,2137,1986,1258.0,0.4344229217110573,0.14373150390099543,0.13357546408393867
10471,21727,43.0,13425,80222.0,1492,3923,1488.0,0.6178947852901919,0.0686703180374649,0.1805587517834952
10472,68654,31.2,1725,29308.0,17330,3581,1065.0,0.02512599411541935,0.2524252046494013,0.05216010720424156
10473,59352,36.5,1347,36764.0,5566,4466,890.0,0.022695107157298826,0.09377948510580941,0.07524599002560992
10474,12686,30.3,133,26585.0,2829,731,1015.0,0.010483998108150717,0.22300173419517577,0.05762257606810657
10475,43913,46.1,3825,44923.0,3770,5010,946.0,0.08710404663766994,0.08585157015006946,0.1140892218705167
11003,45406,37.1,7681,89831.0,6987,5730,1648.0,0.16916266572699643,0.15387834206933004,0.1261947760207902
11004,13778,45.6,5653,85968.0,1130,2139,1248.0,0.4102917694875889,0.08201480621280302,0.1552474960081289
11005,1947,82.0,1855,58894.0,7,455,2508.0,0.9527478171545968,0.0035952747817154596,0.23369286081150487
11010,24791,41.6,18567,97741.0,1431,3311,1331.0,0.7489411479972571,0.057722560606671774,0.1335565326126417
11020,6378,44.6,2373,123438.0,566,1439,1517.0,0.37206020696142994,0.08874255252430228,0.22561931640012542
11021,17378,46.4,12516,90993.0,1718,3657,1703.0,0.7202209690413166,0.09886062838071125,0.21043848544136265
11023,9953,40.2,8553,106699.0,841,1906,2442.0,0.8593388927961418,0.0844971365417462,0.19150005023610972
11024,7667,35.5,6441,94243.0,820,1187,1448.0,0.84009390896048,0.10695187165775401,0.15481935568018781
11030,17505,46.2,13592,161786.0,523,4200,1543.0,0.7764638674664381,0.029877177949157382,0.23993144815766923
11040,41434,43.9,20010,106654.0,3591,7597,1453.0,0.48293671863686827,0.08666795385432254,0.18335183665588647
11042,549,82.7,328,105457.5,0,77,1713.5,0.5974499089253188,0.0,0.14025500910746813
11050,30845,42.2,22394,104261.0,3294,7154,1974.0,0.7260171826876317,0.10679202463932566,0.2319338628627006
11096,8331,33.9,1777,48449.0,1885,477,1312.0,0.21329972392269836,0.22626335373904694,0.05725603168887288
11101,25880,36.1,8211,48013.0,6009,4846,1271.0,0.3172720247295209,0.2321870170015456,0.18724884080370943
11102,35271,33.4,14730,51123.0,7304,7526,1490.0,0.4176235434209407,0.20708230557681948,0.21337642822715544
11103,39231,34.1,22269,59243.0,7782,9169,1465.0,0.5676378374244857,0.19836353903800566,0.23371823303000178
11104,26718,37.7,11658,55294.0,7404,6001,1421.0,0.43633505501908826,0.27711655064001794,0.22460513511490382
11105,37194,34.3,23667,61646.0,5449,9050,1538.0,0.6363123084368446,0.14650212399849438,0.24331881486261225
11106,38812,36.4,16203,54109.0,7816,8584,1380.0,0.4174739771204782,0.2013810161805627,0.22116871070802843
11109,4702,31.9,2955,129505.0,1185,1495,2875.0,0.6284559761803488,0.2520204168438962,0.3179498085920885
11201,58350,35.1,34930,101150.0,6153,15166,2000.0,0.5986289631533848,0.10544987146529564,0.25991431019708655
11203,75887,39.6,2649,45936.0,13828,7084,1172.0,0.03490716459999736,0.1822182982592539,0.093349322018264
11204,80486,34.4,46936,46560.0,16156,8887,1217.0,0.5831573192853415,0.20073056183684118,0.11041671843550431
11205,43224,29.4,17348,47575.0,4363,5920,1209.0,0.4013511012400518,0.10093929298537849,0.13696094762169164
11206,84806,29.0,26352,30779.0,9819,8570,912.0,0.31073273117468103,0.11578190222389925,0.10105417069546967
11207,94657,31.5,2708,34252.0,14480,5486,1063.0,0.02860855509893616,0.15297336699874284,0.057956622331153534
11208,93847,31.0,2513,35698.0,17130,5442,1137.0,0.026777627414834783,0.1825311411126621,0.05798800174752523
11209,70803,39.4,47849,62761.0,8491,14349,1362.0,0.6758046975410646,0.11992429699306527,0.20266090419897462
11210,67432,35.2,18641,57565.0,10349,9084,1166.0,0.27644145212955273,0.15347312848499228,0.13471348914461975
11211,97772,30.3,62877,54406.0,10215,19282,1427.0,0.643098228531686,0.10447776459518063,0.19721392627746184
11212,88668,32.6,1285,28207.0,13402,4924,923.0,0.014492263274236477,0.15114810303604456,0.05553299950376686
11213,64603,33.1,12136,34701.0,11173,5764,1076.0,0.18785505317090537,0.17294862467687258,0.08922186276179125
11214,91295,39.1,43202,49828.0,20382,12619,1198.0,0.47321320992387317,0.2232542855578071,0.13822224656333862
11215,70818,34.9,46877,103716.0,6092,19041,1914.0,0.6619362309017481,0.08602332740263775,0.26887232059645855
11216,53747,34.6,9810,47107.0,6773,9237,1160.0,0.18252181517107932,0.12601633579548627,0.1718607550188848
11217,38511,35.3,19476,87091.0,3292,9870,1743.0,0.5057256368310353,0.08548207005790553,0.25629041053205576
11218,75691,32.8,39136,56120.0,12616,11061,1381.0,0.5170495831736931,0.1666776763419693,0.14613362222721327
11219,97670,27.9,59320,35974.0,19909,6274,1245.0,0.6073512849390805,0.2038394594041159,0.06423671547046175
11220,102325,32.6,14010,38893.0,36465,8018,1213.0,0.13691668702663085,0.35636452479843633,0.07835817248961642
11221,83372,31.7,8030,40635.0,12268,8094,1160.0,0.09631530969630092,0.14714772345631627,0.09708295350957157
11222,35163,34.0,27002,72409.0,5275,10380,1670.0,0.7679094502744362,0.1500156414412877,0.2951966555754628
11223,79385,36.2,46205,43019.0,15413,9780,1172.0,0.5820369087359073,0.19415506707816338,0.12319707753353908
11224,43001,46.9,22485,28006.0,3836,6483,701.0,0.5228948163996187,0.0892072277388898,0.15076393572242505
11225,60180,33.5,10908,44911.0,10268,7699,1206.0,0.18125623130608176,0.17062146892655367,0.12793286806247922
11226,99026,34.7,8780,43399.0,20860,11184,1197.0,0.0886635833013552,0.210651748025771,0.1129400359501545
11228,47190,39.2,25782,64250.0,6933,6377,1316.0,0.5463445645263827,0.14691671964399236,0.1351345624072897
11229,81732,40.7,52049,52168.0,10930,13121,1160.0,0.6368252336905985,0.13372975089316302,0.16053687662115207
11230,88589,34.3,59469,41068.0,14608,12507,1245.0,0.6712910180722211,0.16489631895607806,0.14118005621465418
11231,35263,36.3,20599,83310.0,3224,8852,1623.0,0.5841533618807249,0.09142727504750021,0.25102798967756573
11232,29216,32.9,5563,44474.0,7937,2487,1329.0,0.1904093647316539,0.27166621029572835,0.08512458926615553
11233,71589,32.8,3126,33745.0,8035,5956,1075.0,0.043665926329464026,0.11223791364595119,0.08319713922529998
11234,95912,39.5,36705,71115.0,9526,12901,1299.0,0.3826945533405622,0.09932021019267662,0.13450871632329636
11235,76668,44.6,56775,42818.0,13728,16603,1161.0,0.7405305994678354,0.17905775551729536,0.21655710335472428
11236,98276,37.5,4311,58705.0,13561,10832,1274.0,0.04386625422280109,0.13798892913834507,0.11022019618218079
11237,54182,29.8,7915,44950.0,16926,5196,1323.0,0.14608172455797128,0.3123915691558082,0.09589900705031192
11238,52999,35.1,19977,70873.0,4612,12849,1461.0,0.3769316402196268,0.08702050982094002,0.24243853657616182
11239,12924,44.0,3209,26186.0,764,1034,796.0,0.2482977406375735,0.05911482513153822,0.08000619003404519
