Created Date,Incident Zip,Unique Key
2022,11361,7172
2016,11501,6
2018,12551-0831,2
2014,11418,9113
2012,76161-0230,1
2022,11221,30246
2020,11104,8308
2018,37214,2
2017,11042,7
2019,10282,593
2012,07205,1
2010,12204,1
2015,NEWARK,2
2018,7950,1
2013,11220,17367
2017,10004,2183
2013,07095-0549,1
2011,11550,8
2022,11249,11118
2013,66061,1
2010,11215,15791
2010,60164,1
2015,92626,3
2013,11431,1
2011,1711-1036,1
2011,11710,9
2017,12771,1
2013,11386,2
2011,10577-0900,1
2013,35223,1
2014,11355,12024
2015,07310,14
2016,10301,12605
2011,32216,1
2018,979113,1
2012,11692,3585
2011,07111,1
2022,06902,1
2011,11030,8
2018,06611,2
2021,10031,34562
2011,10455,9122
2022,07026,1
2014,7056,1
2016,19714-7526,1
2016,07721,1
2014,84770,1
2017,01583,1
2015,07070,1
2018,07010,3
2011,48195,1
2010,11590,15
2019,NJ 07114,1
2017,85016,1
2017,11233,24041
2011,11372,10773
2018,32255-1268,1
2018,10956,1
2014,11706,3
2013,63042,1
2018,10475,3719
2022,10305,8960
2011,10470,4444
2020,10467,38300
2022,10017,4550
2010,10530,1
2016,11694,5911
2013,07311,1
2018,11743,1
2018,11379,13069
2019,10162,43
2018,1801,1
2012,32878-5057,1
2011,11435,11350
2010,38120,1
2012,75244,1
2010,92009-1314,1
2017,07604,1
2011,75007,3
2011,10577,1
2013,33324,1
2011,11350,1
2010,10006,955
2017,10030,10934
2021,11414,8787
2010,10030,7687
2012,11358,7277
2017,11249,9179
2020,10466,93350
2011,66063,1
2022,11725,1
2021,11219,18936
2012,13580,1
2020,11695,50
2019,11003,2
2014,11570-4705,1
2011,10019,11326
2014,08080,1
2017,10101,1
2014,11220,18480
2010,11561,7
2019,10702,1
2018,11779,3
2010,11803,4
2019,10706,1
2021,30010,1
2014,14206,1
2014,08857,2
2018,11430,970
2011,11557,2
2011,53566-1364,1
2020,10075,5082
2022,10122,1
2020,11426,5089
2013,77092-2016,1
2021,10024,17046
2018,29615,2
2020,10011,15894
2016,10110,19
2017,10021,7965
2015,11803,4
2012,35209,2
2012,11553,10
2011,21207,1
2017,11579,1
2010,66062,1
2010,11225,21101
2015,12345,1
2017,07052,1
2019,10170,8
2015,11359,13
2021,10307,4461
2011,11776,6
2013,10954,4
2012,11575,2
2015,07110,1
2013,07702,1
2020,10120,53
2019,11758,2
2011,63301-4047,2
2015,10163,1
2011,22304-0156,1
2015,11766,1
2015,10452,24577
2018,75080,1
2012,11432,11674
2012,11706,2
2020,10021,6631
2015,11366,6469
2017,11572,1
2012,11788,3
2010,07362,1
2021,11576,2
2010,34208-5336,1
2012,000000,6
2021,11550,1
2019,11747,2
2015,10001,10503
2011,98057,2
2011,07017,1
2010,19850,2
2016,92626,1
2021,10308,9344
2014,10507,1
2012,92879,1
2013,UNKNOWN,5
2018,11355,16715
2011,000,1
2022,10119,33
2015,11756,3
2012,76051,1
2017,11749,1
2012,89119,2
2014,114566,1
2018,LE4,1
2013,12214,1
2010,33255,1
2011,10920,1
2010,NJ 07114,2
2013,11027,1
2016,11710,7
2014,11105,8514
2017,43218-3003,1
2019,11434,16802
2011,33614,3
2022,10120,11
2016,000000,4
2016,10121,45
2017,10123,18
2019,10016,16489
2013,11521,1
2012,19850-5521,1
2010,07450,1
2017,07014,1
2019,10705,2
2015,07307,1
2017,10022,8818
2021,10028,11705
2011,100038,1
2018,07307,5
2011,07086,3
2021,11697,153
2012,10103,6
2013,07645,1
2012,05679,1
2017,11001,1015
2022,10041,24
2013,10016,11138
2011,07650,1
2017,11232,8499
2011,10119,3
2020,11697,266
2012,07481,1
2013,11206,14058
2017,190442308,1
2018,11418,13073
2010,10538,1
2015,11104,6744
2010,11020,1
2011,75266-0370,1
2018,10022,9834
2012,32255,4
2018,11210,19687
2015,11001,805
2018,48507,1
2012,10457,20295
2016,11704,5
2017,10532,1
2017,10176,11
2016,07660,2
2010,40844,1
2021,10471,7364
2011,48393-1022,1
2018,07305,4
2017,07029,1
2022,10034,20623
2012,4412,1
2016,11709,1
2015,62002,1
