NAME,total_population,median_age,white_non-hispanic,household_income,foreign_born_not_a_us_citizen,bachelors,gross_rent_median_price
13440,42257,41.2,36643,50128.0,489,3839,726.0
13441,55,18.8,42,,0,0,
13450,77,65.6,71,65250.0,0,2,
13452,4498,40.2,4349,40293.0,29,273,618.0
13454,705,36.2,692,35938.0,17,30,677.0
13456,4138,43.7,3839,64473.0,63,504,744.0
13459,2382,41.7,2240,46771.0,21,205,750.0
13460,4230,43.2,4042,41994.0,21,316,599.0
13461,3063,46.4,2857,55746.0,70,399,625.0
13464,1370,45.1,1311,41875.0,0,93,644.0
13468,453,32.8,450,46607.0,0,24,733.0
13469,1162,35.9,1016,78750.0,0,158,
13470,679,54.1,663,42054.0,14,32,625.0
13471,3509,39.8,3319,50605.0,0,149,838.0
13472,137,33.7,137,70357.0,0,14,
13473,549,49.9,534,52321.0,3,26,1036.0
13475,43,54.6,43,,0,0,
13476,3212,43.4,2833,53167.0,27,398,691.0
13477,1724,30.9,1711,46402.0,0,136,599.0
13478,2843,44.9,2792,61250.0,15,160,624.0
13480,3449,44.9,3388,48438.0,0,348,631.0
13483,238,35.0,238,40893.0,0,0,730.0
13484,259,15.7,259,72353.0,0,24,
13485,1088,46.9,1072,39896.0,7,49,749.0
13486,729,43.0,724,56974.0,0,56,763.0
13488,149,38.8,134,52292.0,3,28,
13489,628,43.2,597,42500.0,14,35,642.0
13490,1694,38.8,1516,62485.0,0,103,842.0
13491,3508,41.7,3324,58000.0,18,266,663.0
13492,11516,47.4,11285,59708.0,13,1710,671.0
13493,1775,39.8,1710,47188.0,9,72,674.0
13494,238,55.8,235,50625.0,0,23,
13495,2263,34.7,2032,52830.0,49,268,697.0
13501,38376,33.5,21509,32920.0,5619,2661,645.0
13502,32370,37.8,23911,39041.0,1296,2867,691.0
13601,38466,32.7,31038,46125.0,821,2620,820.0
13602,3982,22.2,2271,41111.0,34,156,1428.0
13603,10005,22.2,5383,42989.0,464,662,1378.0
13605,4760,39.0,4537,51553.0,32,263,732.0
13606,2991,35.5,2941,66063.0,16,167,789.0
13607,1670,49.5,1587,48792.0,18,148,734.0
13608,1519,34.0,1430,44881.0,8,42,798.0
13612,2685,33.6,2346,64020.0,58,308,974.0
13613,2168,42.5,2003,42063.0,38,151,776.0
13614,256,53.2,242,,0,32,
13615,1094,46.7,1067,53207.0,0,105,594.0
13616,2144,29.9,1390,53197.0,42,132,1215.0
13617,11483,28.2,10483,53512.0,376,953,798.0
13618,1787,50.1,1722,50951.0,7,177,496.0
13619,10863,35.0,9841,52383.0,91,675,908.0
13620,2182,39.0,2118,41982.0,21,98,646.0
13621,462,43.6,454,43958.0,3,27,1104.0
13622,2681,34.5,2564,44524.0,20,191,1172.0
13623,22,43.8,22,,0,3,
13624,5764,38.8,4975,62515.0,100,528,902.0
13625,2010,47.3,1945,53300.0,7,172,711.0
13626,2232,33.8,2044,46458.0,17,59,950.0
13628,234,34.1,227,50938.0,3,24,942.0
13630,1547,32.7,1513,52143.0,24,129,625.0
13633,334,37.4,331,58125.0,11,15,725.0
13634,4675,37.4,4580,57356.0,54,337,639.0
13635,1085,40.8,1031,42656.0,48,78,677.0
13636,293,38.9,278,63125.0,0,25,850.0
13637,4363,28.1,2258,50503.0,28,481,1183.0
13638,301,30.9,295,39297.0,0,30,1306.0
13639,201,42.8,201,45208.0,2,5,
13640,435,62.4,435,51111.0,0,102,
13641,59,79.4,59,,5,5,
13642,9922,39.4,8976,42733.0,171,437,682.0
13646,2423,46.7,2347,44118.0,23,133,643.0
13647,91,70.1,81,100625.0,0,23,
13648,2261,41.8,2223,45380.0,25,107,648.0
13650,1612,49.9,1549,57292.0,3,216,827.0
13651,159,67.7,159,109375.0,0,41,
13652,1785,45.1,1734,53403.0,14,137,634.0
13654,3032,27.7,2945,49286.0,14,139,580.0
13655,3429,42.0,109,40731.0,142,180,487.0
13656,2840,36.0,2738,51709.0,17,174,831.0
13658,2137,46.6,2064,56852.0,35,131,605.0
13659,527,45.2,524,51750.0,0,37,743.0
13660,1781,40.5,1718,46750.0,14,129,658.0
13661,1438,46.2,1391,63182.0,18,149,738.0
13662,16517,42.1,15328,41610.0,454,1326,696.0
13664,357,42.4,344,64583.0,8,41,960.0
13665,881,48.0,857,64375.0,0,24,
13666,211,45.1,207,23661.0,0,12,1712.0
13667,3025,36.6,2895,50375.0,21,221,761.0
13668,3470,39.5,3324,49883.0,31,282,708.0
