NAME,median_age,white_non-hispanic,household_income,family_income,nonfamily_households_income,married-couple_families_income,foreign_born_not_a_us_citizen,bachelors,graduate,gross_rent_media_price
ZCTA5 10956,,,,,,,1158.0,5950.0,5925.0,
ZCTA5 10958,,,,,,,204.0,331.0,216.0,
ZCTA5 10960,,,,,,,1842.0,2430.0,2924.0,
ZCTA5 10962,,,,,,,500.0,1045.0,701.0,
ZCTA5 10963,,,,,,,257.0,288.0,230.0,
ZCTA5 10964,,,,,,,13.0,249.0,383.0,
ZCTA5 10965,,,,,,,445.0,2389.0,1993.0,
ZCTA5 10968,,,,,,,170.0,564.0,289.0,
ZCTA5 10969,,,,,,,367.0,227.0,108.0,
ZCTA5 10970,,,,,,,880.0,1615.0,1285.0,
ZCTA5 10973,,,,,,,28.0,249.0,75.0,
ZCTA5 10974,,,,,,,109.0,498.0,262.0,
ZCTA5 10975,,,,,,,9.0,63.0,42.0,
ZCTA5 10976,,,,,,,22.0,408.0,172.0,
ZCTA5 10977,,,,,,,12595.0,5563.0,3259.0,
ZCTA5 10979,,,,,,,26.0,30.0,18.0,
ZCTA5 10980,,,,,,,686.0,2088.0,1284.0,
ZCTA5 10983,,,,,,,199.0,1188.0,750.0,
ZCTA5 10984,,,,,,,123.0,531.0,468.0,
ZCTA5 10985,,,,,,,0.0,0.0,39.0,
ZCTA5 10986,,,,,,,38.0,281.0,246.0,
ZCTA5 10987,,,,,,,146.0,728.0,574.0,
ZCTA5 10988,,,,,,,19.0,61.0,13.0,
ZCTA5 10989,,,,,,,792.0,2092.0,1343.0,
ZCTA5 10990,,,,,,,623.0,3410.0,2393.0,
ZCTA5 10992,,,,,,,105.0,894.0,708.0,
ZCTA5 10993,,,,,,,565.0,281.0,148.0,
ZCTA5 10994,,,,,,,287.0,1038.0,1491.0,
ZCTA5 10996,,,,,,,139.0,281.0,481.0,
ZCTA5 10998,,,,,,,12.0,392.0,366.0,
ZCTA5 11001,,,,,,,1514.0,4261.0,3149.0,
ZCTA5 11003,,,,,,,6808.0,5465.0,2988.0,
ZCTA5 11004,,,,,,,1772.0,2869.0,1955.0,
ZCTA5 11005,,,,,,,9.0,479.0,678.0,
ZCTA5 11010,,,,,,,1352.0,3140.0,1936.0,
ZCTA5 11020,,,,,,,402.0,998.0,1506.0,
ZCTA5 11021,,,,,,,1342.0,4137.0,4712.0,
ZCTA5 11023,,,,,,,629.0,1599.0,2065.0,
ZCTA5 11024,,,,,,,619.0,1294.0,1094.0,
ZCTA5 11030,,,,,,,621.0,4176.0,4389.0,
ZCTA5 11040,,,,,,,3373.0,6840.0,4972.0,
ZCTA5 11042,,,,,,,6.0,60.0,11.0,
ZCTA5 11050,,,,,,,3769.0,6155.0,6178.0,
ZCTA5 11096,,,,,,,1407.0,530.0,201.0,
ZCTA5 11101,,,,,,,5221.0,3756.0,1525.0,
ZCTA5 11102,,,,,,,8577.0,6396.0,2990.0,
ZCTA5 11103,,,,,,,7473.0,8105.0,3037.0,
ZCTA5 11104,,,,,,,8020.0,5060.0,2535.0,
ZCTA5 11105,,,,,,,6887.0,7946.0,3601.0,
ZCTA5 11106,,,,,,,7723.0,6288.0,3580.0,
ZCTA5 11109,,,,,,,676.0,979.0,915.0,
ZCTA5 11201,,,,,,,4731.0,12672.0,14175.0,
ZCTA5 11203,,,,,,,14073.0,7366.0,3428.0,
ZCTA5 11204,,,,,,,15742.0,7038.0,4425.0,
ZCTA5 11205,,,,,,,4033.0,4855.0,4304.0,
ZCTA5 11206,,,,,,,9823.0,5935.0,2364.0,
ZCTA5 11207,,,,,,,12933.0,4354.0,2134.0,
ZCTA5 11208,,,,,,,14681.0,4518.0,1611.0,
ZCTA5 11209,,,,,,,8073.0,12991.0,9376.0,
ZCTA5 11210,,,,,,,9210.0,7426.0,4602.0,
ZCTA5 11211,,,,,,,8975.0,14067.0,6523.0,
ZCTA5 11212,,,,,,,11832.0,3759.0,1324.0,
ZCTA5 11213,,,,,,,10929.0,4997.0,2386.0,
ZCTA5 11214,,,,,,,15444.0,7679.0,3792.0,
ZCTA5 11215,,,,,,,4838.0,16737.0,16523.0,
ZCTA5 11216,,,,,,,7111.0,6918.0,3670.0,
ZCTA5 11217,,,,,,,4091.0,9344.0,8336.0,
ZCTA5 11218,,,,,,,14738.0,10429.0,7363.0,
ZCTA5 11219,,,,,,,20209.0,6390.0,3192.0,
ZCTA5 11220,,,,,,,35388.0,8136.0,3770.0,
ZCTA5 11221,,,,,,,12621.0,5617.0,2270.0,
ZCTA5 11222,,,,,,,6878.0,7732.0,4397.0,
ZCTA5 11223,,,,,,,12392.0,7279.0,3453.0,
ZCTA5 11224,,,,,,,4556.0,5958.0,2673.0,
ZCTA5 11225,,,,,,,12453.0,6660.0,3279.0,
ZCTA5 11226,,,,,,,25738.0,8287.0,3812.0,
ZCTA5 11228,,,,,,,5900.0,4614.0,3121.0,
ZCTA5 11229,,,,,,,10404.0,11855.0,6390.0,
ZCTA5 11230,,,,,,,15245.0,12309.0,7658.0,
ZCTA5 11231,,,,,,,3285.0,8478.0,6080.0,
ZCTA5 11232,,,,,,,8487.0,2585.0,1367.0,
ZCTA5 11233,,,,,,,7246.0,5194.0,2283.0,
ZCTA5 11234,,,,,,,9222.0,11721.0,7518.0,
ZCTA5 11235,,,,,,,11784.0,15955.0,7141.0,
ZCTA5 11236,,,,,,,15372.0,10034.0,5313.0,
ZCTA5 11237,,,,,,,18997.0,3137.0,1393.0,
ZCTA5 11238,,,,,,,5444.0,11318.0,8700.0,
ZCTA5 11239,,,,,,,543.0,1153.0,776.0,
ZCTA5 11351,,,,,,,0.0,0.0,0.0,
ZCTA5 11354,,,,,,,17012.0,8742.0,3359.0,
ZCTA5 11355,,,,,,,30786.0,11913.0,5852.0,
ZCTA5 11356,,,,,,,4501.0,2979.0,1112.0,
ZCTA5 11357,,,,,,,3316.0,6192.0,3952.0,
ZCTA5 11358,,,,,,,8600.0,6410.0,3941.0,
ZCTA5 11359,,,,,,,0.0,0.0,0.0,
ZCTA5 11360,,,,,,,2036.0,4699.0,3381.0,
ZCTA5 11361,,,,,,,4181.0,5148.0,3221.0,
ZCTA5 11362,,,,,,,1841.0,4062.0,2770.0,
ZCTA5 11363,,,,,,,1066.0,1854.0,1089.0,
ZCTA5 11364,,,,,,,4174.0,6347.0,4449.0,
ZCTA5 11365,,,,,,,8245.0,7025.0,3781.0,
ZCTA5 11366,,,,,,,2152.0,2887.0,1800.0,
ZCTA5 11367,,,,,,,4525.0,6647.0,4130.0,
ZCTA5 11368,,,,,,,45511.0,6230.0,2027.0,
ZCTA5 11369,,,,,,,12154.0,3176.0,1373.0,
ZCTA5 11370,,,,,,,8872.0,3214.0,1380.0,
ZCTA5 11371,,,,,,,0.0,0.0,0.0,
ZCTA5 11372,,,,,,,22930.0,8775.0,4845.0,
ZCTA5 11373,,,,,,,39653.0,12663.0,3975.0,
ZCTA5 11374,,,,,,,8456.0,10062.0,6198.0,
ZCTA5 11375,,,,,,,9879.0,16171.0,14429.0,
ZCTA5 11377,,,,,,,28608.0,12750.0,5027.0,
ZCTA5 11378,,,,,,,4702.0,3590.0,1550.0,
ZCTA5 11379,,,,,,,3429.0,4279.0,2904.0,
ZCTA5 11385,,,,,,,22590.0,8387.0,4082.0,
ZCTA5 11411,,,,,,,2379.0,2798.0,1598.0,
ZCTA5 11412,,,,,,,4590.0,3886.0,1648.0,
ZCTA5 11413,,,,,,,4975.0,4336.0,2447.0,
ZCTA5 11414,,,,,,,1319.0,3200.0,1537.0,
ZCTA5 11415,,,,,,,2721.0,3129.0,2693.0,
ZCTA5 11416,,,,,,,5423.0,1857.0,757.0,
ZCTA5 11417,,,,,,,5646.0,2407.0,1249.0,
ZCTA5 11418,,,,,,,9283.0,3912.0,2237.0,
ZCTA5 11419,,,,,,,15035.0,3983.0,1181.0,
ZCTA5 11420,,,,,,,9398.0,3971.0,1597.0,
ZCTA5 11421,,,,,,,8470.0,4088.0,1708.0,
ZCTA5 11422,,,,,,,4241.0,4084.0,1917.0,
ZCTA5 11423,,,,,,,6228.0,3388.0,1939.0,
ZCTA5 11424,,,,,,,0.0,0.0,0.0,
ZCTA5 11425,,,,,,,0.0,0.0,0.0,
ZCTA5 11426,,,,,,,2365.0,3052.0,1628.0,
ZCTA5 11427,,,,,,,3998.0,4024.0,1757.0,
ZCTA5 11428,,,,,,,4055.0,2767.0,1146.0,
ZCTA5 11429,,,,,,,4885.0,2658.0,1266.0,
ZCTA5 11430,,,,,,,0.0,0.0,0.0,
ZCTA5 11432,,,,,,,14642.0,7782.0,5006.0,
ZCTA5 11433,,,,,,,4243.0,2053.0,1043.0,
ZCTA5 11434,,,,,,,7440.0,5299.0,2423.0,
ZCTA5 11435,,,,,,,12813.0,6680.0,3512.0,
ZCTA5 11436,,,,,,,2826.0,1197.0,628.0,
ZCTA5 11451,,,,,,,0.0,0.0,0.0,
ZCTA5 11501,,,,,,,2389.0,2741.0,2485.0,
ZCTA5 11507,,,,,,,822.0,1385.0,1181.0,
ZCTA5 11509,,,,,,,19.0,466.0,516.0,
ZCTA5 11510,,,,,,,2911.0,5315.0,4051.0,
ZCTA5 11514,,,,,,,186.0,891.0,567.0,
ZCTA5 11516,,,,,,,526.0,1172.0,1093.0,
ZCTA5 11518,,,,,,,509.0,1330.0,1115.0,
ZCTA5 11520,,,,,,,7551.0,4278.0,2916.0,
ZCTA5 11530,,,,,,,828.0,5663.0,5378.0,
ZCTA5 11542,,,,,,,4822.0,3910.0,2929.0,
ZCTA5 11545,,,,,,,381.0,2698.0,2377.0,
ZCTA5 11547,,,,,,,66.0,189.0,38.0,
ZCTA5 11548,,,,,,,253.0,291.0,155.0,
ZCTA5 11549,,,,,,,225.0,84.0,93.0,
ZCTA5 11550,,,,,,,14471.0,3934.0,2278.0,
ZCTA5 11552,,,,,,,1425.0,3181.0,2608.0,
ZCTA5 11553,,,,,,,4688.0,2312.0,800.0,
