NAME,total_population,median_age,white_non-hispanic,household_income,foreign_born_not_a_us_citizen,bachelors,gross_rent_media_price
14216,22203,36.8,16515,47433.0,551,3901,748.0
14217,22911,42.2,20642,50810.0,233,2947,681.0
14218,18943,39.8,15130,38240.0,436,1455,609.0
14219,10912,41.9,10027,49721.0,226,865,706.0
14220,24525,39.3,21121,45537.0,284,2306,699.0
14221,54109,47.6,46761,75377.0,2125,9848,1104.0
14222,14519,29.0,11342,53059.0,405,3029,786.0
14223,22901,42.5,20172,58817.0,392,3114,779.0
14224,40002,45.4,38337,59208.0,327,4531,741.0
14225,33228,41.3,27839,46488.0,450,3185,723.0
14226,28593,40.6,23113,63756.0,2344,4924,828.0
14227,22950,48.7,20184,49943.0,690,2489,846.0
14228,21887,33.3,16242,47875.0,2119,3337,891.0
14261,5680,19.6,3212,,771,52,
14301,12965,38.0,7780,21343.0,477,574,590.0
14302,25,88.5,25,,0,0,
14303,6073,41.7,4046,30101.0,234,465,676.0
14304,28605,45.2,25821,48511.0,347,2377,677.0
14305,17249,35.6,10804,33295.0,256,1046,665.0
14411,14493,40.9,11475,43644.0,492,957,598.0
14414,7062,38.7,6789,60719.0,75,864,753.0
14415,61,56.1,61,32386.0,0,8,
14416,3606,42.8,3400,53636.0,18,403,647.0
14418,1371,42.6,1364,70147.0,0,121,957.0
14420,20638,31.8,18614,53232.0,539,2075,770.0
14422,2432,43.1,2382,66546.0,5,187,775.0
14423,4828,45.6,4592,54144.0,11,456,748.0
14424,26862,45.7,25227,54711.0,182,3357,818.0
14425,11415,36.1,9818,63916.0,536,1693,1023.0
14427,2202,39.2,2112,52794.0,25,181,634.0
14428,8003,46.6,7485,54868.0,17,939,1015.0
14432,6304,39.7,5865,49583.0,174,561,757.0
14433,4121,37.1,3825,51038.0,28,170,786.0
14435,2894,45.0,2838,61071.0,23,333,871.0
14437,11314,44.5,9889,44009.0,117,687,666.0
14441,444,37.0,330,45250.0,64,39,809.0
14445,7892,37.5,6688,50380.0,186,917,841.0
14450,41414,44.4,38165,76914.0,530,8476,915.0
14454,11124,21.5,9509,42925.0,401,836,744.0
14456,19865,35.8,15707,47388.0,555,1887,710.0
14462,594,42.0,562,52176.0,0,64,705.0
14464,7272,40.3,6975,59033.0,0,691,767.0
14466,1844,44.5,1820,70724.0,0,215,586.0
14467,9784,42.2,7634,73644.0,187,1320,800.0
14468,18271,42.6,17197,65069.0,109,1823,887.0
14469,6500,45.7,6388,62000.0,68,718,718.0
14470,7930,43.8,7576,47298.0,33,593,659.0
14471,2628,53.4,2462,57823.0,21,302,1095.0
14472,8308,46.0,7861,91356.0,145,1552,756.0
14475,227,49.0,227,75313.0,0,51,
14476,2229,42.7,2076,53400.0,7,161,703.0
14477,2089,43.3,1933,54120.0,36,220,
14478,1535,21.8,1396,56250.0,87,152,
14479,319,38.1,319,47188.0,20,14,626.0
14480,1166,26.6,1087,36146.0,0,36,871.0
14481,1865,45.5,1673,56860.0,0,127,761.0
14482,8265,41.8,7548,53214.0,44,821,712.0
14485,4609,41.4,4263,45667.0,82,522,652.0
14486,268,43.5,257,57695.0,0,32,
14487,5539,42.6,5433,70338.0,27,633,799.0
14489,7261,44.0,6229,43472.0,193,493,601.0
14502,10698,40.0,10248,65241.0,81,1396,743.0
14504,1739,44.0,1598,49500.0,33,116,855.0
14505,5050,44.0,4766,57708.0,46,504,722.0
14506,1374,42.3,1340,92206.0,0,364,
14507,1292,47.1,1248,53056.0,9,139,708.0
14510,4700,40.2,3955,45523.0,6,143,683.0
14511,379,50.7,359,45000.0,0,62,
14512,4765,46.9,4671,52101.0,25,487,752.0
14513,14001,44.8,12222,43724.0,23,897,651.0
14514,6719,41.7,5869,59528.0,53,815,852.0
14516,2429,41.8,2114,50234.0,25,141,661.0
14517,2989,42.6,2893,40423.0,50,166,549.0
14519,11594,44.4,10579,60139.0,78,1300,812.0
14521,2755,41.2,2435,45742.0,10,202,623.0
14522,9288,44.6,8795,48516.0,49,732,695.0
14525,2772,40.0,2737,61466.0,0,217,675.0
14526,20609,43.6,18993,79964.0,266,3716,895.0
14527,12923,42.6,12459,47519.0,108,1144,629.0
14529,85,64.2,85,44830.0,0,0,
14530,5392,41.6,5273,51768.0,25,422,630.0
14532,4235,43.5,4052,50921.0,7,320,703.0
14533,1826,44.1,1668,57803.0,17,115,760.0
14534,32399,45.9,28278,105608.0,805,7216,1143.0
14536,568,46.9,509,41304.0,5,21,350.0
14537,164,48.6,164,21406.0,0,0,
14539,225,33.9,225,82750.0,0,46,
14541,4634,35.7,3014,55921.0,65,233,944.0
14542,58,60.8,58,53688.0,0,36,
14543,3174,48.9,2908,81379.0,59,506,906.0
14544,2247,43.3,2148,59063.0,13,156,543.0
14545,173,40.8,162,54583.0,0,20,
14546,4843,43.2,4267,58333.0,33,661,942.0
14548,4056,45.3,3920,60143.0,31,347,701.0
14549,5,,5,,0,5,
14550,1764,40.9,1689,66375.0,43,129,592.0
14551,5693,37.0,4694,47024.0,42,393,680.0
14555,1182,50.6,1075,53750.0,3,162,894.0
14559,18336,41.7,16805,72242.0,323,2632,869.0
14560,1860,47.8,1846,55682.0,10,215,744.0
14561,3209,39.7,3078,57604.0,0,305,754.0
14564,14382,43.5,13541,81071.0,127,2907,1264.0
14568,6465,37.6,6135,77629.0,32,913,723.0
14569,6216,45.3,5917,44688.0,48,385,563.0
14571,1123,48.7,1031,55321.0,44,108,
14572,5228,42.6,4985,41047.0,34,264,667.0
14580,50946,43.2,45975,69143.0,1711,8372,925.0
14585,69,68.4,69,37750.0,0,17,
14586,11452,32.9,8235,76902.0,573,1919,1171.0
14588,259,35.5,88,37917.0,5,0,
14589,7573,45.2,6575,55717.0,115,653,670.0
14590,5199,44.6,4910,42193.0,95,281,540.0
14591,1552,45.6,1527,59531.0,0,128,725.0
14592,187,46.7,187,83534.0,0,48,
14604,1651,40.0,755,13553.0,85,83,529.0
14605,13737,25.0,1325,19358.0,582,423,674.0
14606,29076,36.3,15934,37830.0,1521,2102,784.0
14607,16159,29.8,12679,39567.0,738,4089,775.0
14608,12377,31.3,2008,20640.0,1285,805,699.0
14609,44103,33.4,19912,40737.0,1380,4232,818.0
14610,13679,44.4,11621,57831.0,348,2916,845.0
14611,17773,31.7,3478,25674.0,349,646,765.0
14612,34668,43.9,30157,61769.0,595,4980,799.0
14613,12212,31.2,3641,28612.0,1579,586,749.0
14614,1136,29.7,267,,20,21,
14615,15579,36.4,8457,35946.0,649,1538,796.0
14616,28638,41.8,23540,46874.0,648,2809,834.0
14617,22776,43.3,20315,62051.0,497,4277,826.0
14618,21367,40.9,17442,81800.0,701,3713,960.0
14619,15237,32.7,3119,37448.0,405,1315,932.0
14620,25689,31.2,18326,40179.0,2278,4841,820.0
14621,34576,32.1,5946,25282.0,1629,1063,733.0
14622,12042,45.3,10521,51081.0,217,1637,837.0
