,ZCTA5,bachelors,graduate,household,foreign-born-non-us,family,nonfamily-households,nonfamily-households,married-couple-families,gross_rent,median_age,white_non_hispanic
81,,0.40786787059303964,0.2065383774327575,,0.03753392616783248,,,,,,,
82,,0.5385453060483688,0.3180625410015307,,0.13879388336018006,,,,,,,
83,,0.17428195471663868,0.06658648589547343,,0.16249255279242703,,,,,,,
84,,0.22432959753164844,0.05536117792842044,,0.4438977029501975,,,,,,,
85,,0.21811334452561368,0.06122895254756178,,0.43279860544142634,,,,,,,
86,,0.06688143745179001,0.018478023179532035,,0.14623005803305456,,,,,,,
87,,0.0990063070012251,0.02350754428165318,,0.17604095412520135,,,,,,,
88,,0.2430691047688189,0.062103651869669804,,0.4080628433990159,,,,,,,
89,,0.16697672308180952,0.0714337779721554,,0.40197268253933227,,,,,,,
90,,0.2206089205499342,0.07908739704060062,,0.44030097751494957,,,,,,,
91,,0.11892554108625618,0.029229535680443182,,0.2014607559743154,,,,,,,
